"name","description","url","numbers","citations"
"Abdominal pain","Abdominal pain condition record of any type; successive records with > 90 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Abdominal%20pain.json","[4-6]","@Goldstein2003 @Rao2018 @Saps2013"
"Abnormal weight gain","Abnormal weight gain record of any type; successive records with > 90 day gap are considered independent episodes;  note, weight measurements not used","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Abnormal%20weight%20gain.json","[7]","@Broder2016"
"Abnormal weight loss","Abnormal weight loss record of any type; successive records with > 90 day gap are considered independent episodes;  note, weight measurements not used","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Abnormal%20weight%20loss.json","[8]","@Williams2017"
"Acute myocardial infarction","Acute myocardial infarction condition record during an inpatient or ER visit; successive records with > 180 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Acute%20myocardial%20infarction.json","[9-14]","@Ammann2018 @Floyd2016a @Rubbo2015 @Singh2018 @Wahl2010 @Normand1995"
"Acute pancreatitis","Acute pancreatitis condition record during an inpatient or ER visit; successive records with >30 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Acute%20pancreatitis.json","[15-18]","@Dore2011 @Dore2013 @Yabe2015 @Chen2017"
"Acute renal failure","A diagnosis of acute renal failure in an inpatient or ER setting; must be at least 30d between inpatient/ER visits to be considered separate episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Acute%20renal%20failure.json","[19-26]","@Afzal2013 @Lenihan2013 @Winkelmayer2005 @Grams2014 @Arnold2018 @Sutherland2015 @Waikar2006 @Rhee2015"
"All-cause mortality","Death record of any type","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/All-cause%20mortality.json","[12, 27, 28]","@Singh2018 @Ooba2013 @Robinson2015"
"Anaphylactoid reaction","Anaphylactoid reaction condition record during an inpatient or ER visit; successive records with >7 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Anaphylactoid%20reaction.json","[29, 30]","@Schneider2012a @Walsh2013"
"Anemia","The first condition record of anemia","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Anemia.json","[31-33]","@Han2008 @Michalik2017 @Tuck2017"
"Angioedema","Angioedema condition record during an inpatient or ER visit; successive records with >7 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Angioedema.json","[29, 34]","@Schneider2012a @Cherepanov2015"
"Anxiety","The first condition record of anxiety, which is followed by another anxiety condition record or a drug used to treat anxiety","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Anxiety.json","[35-38]","@Bushnell2018 @John2016 @Marrie2016 @Castro2015"
"Bradycardia","The first condition record of bradycardia, which is followed by another bradycardia condition record","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Bradycardia.json","[39, 40]","@Shin2013 @Turgeon2015"
"Cardiac arrhythmia","The first condition record of cardiac arrhythmia, which is followed by another cardiac arrhythmia condition record, at least two drug records for a drug used to treat arrhythmias, or a procedure to treat arrhythmias","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Cardiac%20arrhythmia.json","[41-47]","@Hennessy2010 @Tamariz2012 @Gage2001 @Jensen2012 @Karnik2012 @NavarBoggan2015 @Yahi2015"
"Cardiovascular disease","A condition record of ischemic stroke, hemorrhagic stroke, heart failure, acute myocardial infarction or sudden cardiac death during an inpatient or ER visit; successive records with > 180 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Cardiovascular%20disease.json","[9-14, 41]","@Ammann2018 @Floyd2016a @Rubbo2015 @Singh2018 @Wahl2010 @Normand1995 @Hennessy2010"
"Cardiovascular-related mortality","Death record with at least 1 cardiovascular-related condition record (myocardial infarction, ischemic stroke, intracranial hemorrhage, sudden cardiac death, hospitalization for heart failure) in 30 days prior to death","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Cardiovascular-related%20mortality.json","[12]","@Singh2018"
"Chest pain or angina","The first condition record of chest pain or angina","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Chest%20pain%20or%20angina.json","[48]","@Zaher2004"
"Chronic kidney disease","The first condition record of chronic kidney disease, which is followed by either another chronic kidney disease condition record or a dialysis procedure or observation","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Chronic%20kidney%20disease.json","[21, 49-56]","@Winkelmayer2005 @Chase2010 @Fraccaro2016 @Frigaard2019 @Holzmann2016 @Luong2017 @Muntner2015 @Nadkarni2014 @Robertson2016"
"Cough","Cough condition record of any type; successive records with > 90 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Cough.json","[57-59]","@Chen2016 @Fathima2017 @Lazarus2001"
"Decreased libido","The first condition record of decreased libido","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Decreased%20libido.json","[60]","@Masterson2019"
"Dementia","The first condition record of dementia","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Dementia.json","[61-68]","@Ostbye2008 @Sibbett2017 @Amra2017 @Jaakkimainen2016 @Kosteniuk2015 @McGuinness2019 @Williamson2014 @Lin2010"
"Depression","The first condition record of depression, which is followed by another depression condition record, at least two drugs used to treat depression without another indication, or two psychotherapy procedures","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Depression.json","[36, 37, 67, 69-72]","@John2016 @Marrie2016 @Williamson2014 @Alaghehbandan2012 @Cepeda2018 @Davidson2018 @Doktorchik2019"
"Diarrhea","Diarrhea condition record of any type; successive records with > 30 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Diarrhea.json","[73-75]","@Buono2017 @Krishnarajah2016 @Panozzo2014"
"End stage renal disease","End stage renal disease (ESRD) is defined by at least one diagnosis in any setting, followed by at least one additional diagnosis or a dialysis-related procedure within 90 days","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/End%20stage%20renal%20disease.json","[18, 54, 76]","@Chen2017 @Muntner2015 @Shen2017"
"Fall","Fall condition record of any type; successive records with > 180 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Fall.json","[77-79]","@Homer2017 @Kim2018 @McCoy2017"
"Gastrointestinal bleeding","Gastrointestinal hemorrhage condition record during an inpatient or ER visit; successive records with > 30 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Gastrointestinal%20bleeding.json","[4, 13, 80-84]","@Goldstein2003 @Wahl2010 @Curtis2011 @Lanza1995 @Lin2011 @Patorno2017 @Valkhoff2014"
"Gout","The first condition record of gout","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Gout.json","[85-88]","@Cadzow2017 @Harrold2007 @MacFarlane2016 @Malik2009"
"Headache","Headache condition record of any type; successive records with > 30 day gap are considered independent episodes","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Headache.json","[89, 90]","@Hurwitz2016 @Rizzoli2016"
"Heart failure","The first condition record of heart failure, which is followed by at least 1 heart failure condition record in the following year","https://github.com/OHDSI/Legend/blob/master/inst/cohorts/Heart%20failure.json","[10, 91-100]","@Floyd2016a @Floyd2016b @Gini2016 @Kaspar2018 @Li2011 @Patel2018 @Saczynski2012 @Schultz2013 @Feder2018 @Rosenman2014 @Quach2010"
