targetId,comparator1Id,comparator2Id,comparator3Id,cvd,age
1,2,3,4,"all","all"
2,1,3,4,"all","all"
3,1,2,4,"all","all"
4,1,2,3,"all","all"
1,2,3,4,"high","all"
2,1,3,4,"high","all"
3,1,2,4,"high","all"
4,1,2,3,"high","all"
1,2,3,4,"low","all"
2,1,3,4,"low","all"
3,1,2,4,"low","all"
4,1,2,3,"low","all"
1,2,3,4,"all","younger"
2,1,3,4,"all","younger"
3,1,2,4,"all","younger"
4,1,2,3,"all","younger"
1,2,3,4,"high","younger"
2,1,3,4,"high","younger"
3,1,2,4,"high","younger"
4,1,2,3,"high","younger"
1,2,3,4,"low","younger"
2,1,3,4,"low","younger"
3,1,2,4,"low","younger"
4,1,2,3,"low","younger"
1,2,3,4,"all","older"
2,1,3,4,"all","older"
3,1,2,4,"all","older"
4,1,2,3,"all","older"
1,2,3,4,"high","older"
2,1,3,4,"high","older"
3,1,2,4,"high","older"
4,1,2,3,"high","older"
1,2,3,4,"low","older"
2,1,3,4,"low","older"
3,1,2,4,"low","older"
4,1,2,3,"low","older"
