atlasId,atlasName,cohortId,name
100,DPP4Is CVD: all Age: all,100,ID100
200,GLP1RAs CVD: all Age: all,200,ID200
300,SGLT2Is CVD: all Age: all,300,ID300
400,SUs CVD: all Age: all,400,ID400
120,DPP4Is CVD: high Age: all,120,ID120
220,GLP1RAs CVD: high Age: all,220,ID220
320,SGLT2Is CVD: high Age: all,320,ID320
420,SUs CVD: high Age: all,420,ID420
110,DPP4Is CVD: low Age: all,110,ID110
210,GLP1RAs CVD: low Age: all,210,ID210
310,SGLT2Is CVD: low Age: all,310,ID310
410,SUs CVD: low Age: all,410,ID410
101,DPP4Is CVD: all Age: younger,101,ID101
201,GLP1RAs CVD: all Age: younger,201,ID201
301,SGLT2Is CVD: all Age: younger,301,ID301
401,SUs CVD: all Age: younger,401,ID401
121,DPP4Is CVD: high Age: younger,121,ID121
221,GLP1RAs CVD: high Age: younger,221,ID221
321,SGLT2Is CVD: high Age: younger,321,ID321
421,SUs CVD: high Age: younger,421,ID421
111,DPP4Is CVD: low Age: younger,111,ID111
211,GLP1RAs CVD: low Age: younger,211,ID211
311,SGLT2Is CVD: low Age: younger,311,ID311
411,SUs CVD: low Age: younger,411,ID411
102,DPP4Is CVD: all Age: older,102,ID102
202,GLP1RAs CVD: all Age: older,202,ID202
302,SGLT2Is CVD: all Age: older,302,ID302
402,SUs CVD: all Age: older,402,ID402
122,DPP4Is CVD: high Age: older,122,ID122
222,GLP1RAs CVD: high Age: older,222,ID222
322,SGLT2Is CVD: high Age: older,322,ID322
422,SUs CVD: high Age: older,422,ID422
112,DPP4Is CVD: low Age: older,112,ID112
212,GLP1RAs CVD: low Age: older,212,ID212
312,SGLT2Is CVD: low Age: older,312,ID312
412,SUs CVD: low Age: older,412,ID412
