atlasId,atlasName,cohortId,name
100000,DPP4Is CVD: all Age: all,100000,ID100000
200000,GLP1RAs CVD: all Age: all,200000,ID200000
300000,SGLT2Is CVD: all Age: all,300000,ID300000
400000,SUs CVD: all Age: all,400000,ID400000
110000,DPP4Is CVD: all Age: younger,110000,ID110000
210000,GLP1RAs CVD: all Age: younger,210000,ID210000
310000,SGLT2Is CVD: all Age: younger,310000,ID310000
410000,SUs CVD: all Age: younger,410000,ID410000
120000,DPP4Is CVD: all Age: middle,120000,ID120000
220000,GLP1RAs CVD: all Age: middle,220000,ID220000
320000,SGLT2Is CVD: all Age: middle,320000,ID320000
420000,SUs CVD: all Age: middle,420000,ID420000
130000,DPP4Is CVD: all Age: older,130000,ID130000
230000,GLP1RAs CVD: all Age: older,230000,ID230000
330000,SGLT2Is CVD: all Age: older,330000,ID330000
430000,SUs CVD: all Age: older,430000,ID430000
100010,DPP4Is CVD: low Age: all,100010,ID100010
200010,GLP1RAs CVD: low Age: all,200010,ID200010
300010,SGLT2Is CVD: low Age: all,300010,ID300010
400010,SUs CVD: low Age: all,400010,ID400010
100020,DPP4Is CVD: higher Age: all,100020,ID100020
200020,GLP1RAs CVD: higher Age: all,200020,ID200020
300020,SGLT2Is CVD: higher Age: all,300020,ID300020
400020,SUs CVD: higher Age: all,400020,ID400020
101000,DPP4Is CVD: all Age: all,101000,ID101000
201000,GLP1RAs CVD: all Age: all,201000,ID201000
301000,SGLT2Is CVD: all Age: all,301000,ID301000
401000,SUs CVD: all Age: all,401000,ID401000
102000,DPP4Is CVD: all Age: all,102000,ID102000
202000,GLP1RAs CVD: all Age: all,202000,ID202000
302000,SGLT2Is CVD: all Age: all,302000,ID302000
402000,SUs CVD: all Age: all,402000,ID402000
100100,DPP4Is CVD: all Age: all,100100,ID100100
200100,GLP1RAs CVD: all Age: all,200100,ID200100
300100,SGLT2Is CVD: all Age: all,300100,ID300100
400100,SUs CVD: all Age: all,400100,ID400100
100001,DPP4Is CVD: all Age: all,100001,ID100001
200001,GLP1RAs CVD: all Age: all,200001,ID200001
300001,SGLT2Is CVD: all Age: all,300001,ID300001
400001,SUs CVD: all Age: all,400001,ID400001
100002,DPP4Is CVD: all Age: all,100002,ID100002
200002,GLP1RAs CVD: all Age: all,200002,ID200002
300002,SGLT2Is CVD: all Age: all,300002,ID300002
400002,SUs CVD: all Age: all,400002,ID400002
