tableName,fieldName,type,description,isRequired,primaryKey,optional,emptyIsNa
ps_auc_assessment,database_id,varchar(255),"Foreign key referencing the database",Yes,Yes,No,Yes
ps_auc_assessment,target_id,bigint,"Foreign key referencing the exposure_of_interest table",Yes,Yes,No,Yes
ps_auc_assessment,comparator_id,bigint,"Foreign key referencing the exposure_of_interest table",Yes,Yes,No,Yes
ps_auc_assessment,auc,numeric,"Area under the receiver-operator curve classifying subjects by their propensity score",Yes,No,No,Yes
ps_auc_assessment,equipoise,numeric,"%-subjects with preference scores between 0.3 and 0.7",Yes,No,No,Yes
ps_auc_assessment,comparison,text,Name of comparison,No,No,No,Yes
ps_covariate_assessment,target_id,bigint,Foreign key referencing the exposure_of_interest table,Yes,Yes,No,Yes
ps_covariate_assessment,comparator_id,bigint,Foreign key referencing the exposure_of_interest table,Yes,Yes,No,Yes
ps_covariate_assessment,database_id,varchar(255),Foreign key referencing the database,Yes,Yes,No,Yes
ps_covariate_assessment,covariate_id,bigint,Foreign key referencing the covariate table,Yes,Yes,No,No
ps_covariate_assessment,comparison,text,Name of comparison,No,No,No,Yes
ps_covariate_assessment,covariate_name,text,Name of the covariate,No,No,No,Yes
ps_covariate_assessment,coefficient,numeric,Regression coefficient for covariate,No,No,No,Yes
