tableName,fieldName,type,description,isRequired,primaryKey,emptyIsNa
database,database_id,varchar,"Unique identifier for a database, e.g. ‘MDCD’",yes,yes,yes
database,database_name,varchar,"Full name for the database, e.g. ‘Truven MarketScan Multi-state Medicaid (MDCD)’",yes,no,yes
database,description,varchar,"Longer description, e.g. ‘Truven Health MarketScan® Multi-State Medicaid Database (MDCD) adjudicated US health insurance claims for Medicaid enrollees from multiple states ...'",yes,no,yes
database,is_meta_analysis,int, "Does the record pertain a meta-analysis across databases? (0=no, 1=yes)",yes,no,yes
exposure_summary,database_id,varchar,"Foreign key referencing the database",yes,yes,yes
exposure_summary,exposure_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
exposure_summary,min_date,date,"Earliest date when the exposure was observed in the database",yes,no,yes
exposure_summary,max_date,date,"Earliest date when the exposure was observed in the database",yes,no,yes
comparison_summary,database_id,varchar,"Foreign key referencing the database",yes,no,yes
comparison_summary,target_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,no,yes
comparison_summary,comparator_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,no,yes
comparison_summary,min_date,date,"Earliest date when both target and comparator were observed in the database",yes,no,yes
comparison_summary,max_date,date,"Latest date when both target and comparator were observed in the database",yes,no,yes
attrition,database_id,varchar,"Foreign key referencing the database",yes,yes,yes
attrition,exposure_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
attrition,target_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
attrition,comparator_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
attrition,outcome_id,bigint,"Foreign key referencing the outcome_of_interest table",yes,yes,yes
attrition,analysis_id,int,"Foreign key referencing the cohort_method_analysis table",yes,yes,yes
attrition,sequence_number,int,"The place in the sequence of steps defining the final analysis cohort. 1 indicates the original exposed population without any inclusion criteria",yes,no,yes
attrition,description,varchar,"Description of the last restriction, e.g. 'Removing persons with the outcome prior'",yes,no,yes
attrition,subjects,int,"Number of subjects in the cohort",yes,no,yes
covariate,database_id,varchar,"Foreign key referencing the database",yes,yes,yes
covariate,covariate_id,bigint,"Unique identified for a covariate",yes,yes,yes
covariate,comparator_name,varchar,"A name for a covariate, e.g. 'Age group: 20-25 years'",yes,no,yes
covariate,covariate_analysis_id,int,"Foreign key referencing the covariate_analysis table",yes,no,yes
cm_follow_up_dist,database_id,varchar,"Foreign key referencing the database",yes,yes,yes
cm_follow_up_dist,target_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
cm_follow_up_dist,comparator_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
cm_follow_up_dist,outcome_id,bigint,"Foreign key referencing the outcomes_of_interest, negative_control_outcome, or positive_control_outcome table",yes,yes,yes
cm_follow_up_dist,analysis_id,int,"Foreign key referencing the cohort_method_analysis table",yes,yes,yes
cm_follow_up_dist,target_min_days,int,"Minimum number of observation days for a person",yes,no,yes
cm_follow_up_dist,target_p10_days,int,"10th percentile of number of observation days for a person in the target group",yes,no,yes
cm_follow_up_dist,target_p25_days,int,"25th percentile of number of observation days for a person in the target group",yes,no,yes
cm_follow_up_dist,target_median_days,int,"Median number of observation days for a person in the target group",yes,no,yes
cm_follow_up_dist,target_p75_days,int,"75th percentile of number of observation days for a person in the target group",yes,no,yes
cm_follow_up_dist,target_p90_days,int,"90th percentile of number of observation days for a person in the target group",yes,no,yes
cm_follow_up_dist,target_max_days,int,"Maximum number of observation days for a person in the target group",yes,no,yes
cm_follow_up_dist,comparator_min_days,int,"Minimum number of observation days for a person in the comparator group",yes,no,yes
cm_follow_up_dist,comparator_p10_days,int,"10th percentile of number of observation days for a person in the comparator group",yes,no,yes
cm_follow_up_dist,comparator_p25_days,int,"25th percentile of number of observation days for a person in the comparator group",yes,no,yes
cm_follow_up_dist,comparator_median_days,int,"Median number of observation days for a person in the comparator group",yes,no,yes
cm_follow_up_dist,comparator_p75_days,int,"75th percentile of number of observation days for a person in the comparator group",yes,no,yes
cm_follow_up_dist,comparator_p90_days,int,"90th percentile of number of observation days for a person in the comparator group",yes,no,yes
cm_follow_up_dist,comparator_max_days,int,"Maximum number of observation days for a person in the comparator group",yes,no,yes
cohort_method_results,database_id,varchar,"Foreign key referencing the database",yes,yes,yes
cohort_method_results,target_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
cohort_method_results,comparator_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
cohort_method_results,outcome_id,bigint,"Foreign key referencing the outcomes_of_interest, negative_control_outcome, or positive_control_outcome table",yes,yes,yes
cohort_method_results,analysis_id,int,"Foreign key referencing the cohort_method_analysis table",yes,yes,yes
cohort_method_results,rr,float,"Estimated relative risk (hazard ratio)",yes,no,yes
cohort_method_results,ci_95_lb,float,"Lower bound of the 95% confidence interval of the relative risk",yes,no,yes
cohort_method_results,ci_95_ub,float,"Upper bound of the 95% confidence interval of the relative risk",yes,no,yes
cohort_method_results,p,float,"Two-sided p-value considering the null hypothesis of no effect",yes,no,yes
cohort_method_results,i_2,float,"I^2 measure of between-database heterogeneity (for meta-analyses estimates only)",yes,no,yes
cohort_method_results,log_rr,float,"Log of the relative risk",yes,no,yes
cohort_method_results,se_log_rr,float,"Standard error of the log of the relative risk",yes,no,yes
cohort_method_results,target_subjects,int,"Number of subject in the target cohort",yes,no,yes
cohort_method_results,comparator_subjects,int,"Number of subject in the comparator cohort",yes,no,yes
cohort_method_results,target_days,int,"Number of days observed in the target cohort",yes,no,yes
cohort_method_results,comparator_days,int,"Number of days observed in the comparator cohort",yes,no,yes
cohort_method_results,target_outcomes,int,"Number of outcomes observed in the target cohort",yes,no,yes
cohort_method_results,comparator_outcomes,int,"Number of outcomes observed in the comparator cohort",yes,no,yes
cohort_method_results,calibrated_p,float,"Calibrated p-value",yes,no,yes
cohort_method_results,calibrated_rr,float,"Calibrated relative risk (hazard ratio)",yes,no,yes
cohort_method_results,calibrated_ci_95_lb,float,"Lower bound of the calibrated 95% confidence interval of the relative risk",yes,no,yes
cohort_method_results,calibrated_ci_95_ub,float,"Upper bound of the calibrated 95% confidence interval of the relative risk",yes,no,yes
cohort_method_results,calibrated_log_rr,float,"Log of the calibrated relative risk",yes,no,yes
cohort_method_results,calibrated_se_log_rr,float,"Standard error of the log of the calibrated relative risk",yes,no,yes
covariate_balance,database_id,varchar,"Foreign key referencing the database",yes,yes,yes
covariate_balance,target_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
covariate_balance,comparator_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
covariate_balance,outcome_id,bigint,"Foreign key referencing the outcomes_of_interest table",yes,yes,yes
covariate_balance,analysis_id,int,"Foreign key referencing the cohort_method_analysis table",yes,yes,yes
covariate_balance,covariate_id,bigint,"Foreign key referencing the covariate table",yes,yes,yes
covariate_balance,target_mean_before,float,"Mean value of the covariate in the target cohort before propensity score adjustment",yes,no,yes
covariate_balance,comparator_mean_before,float,"Mean value of the covariate in the comparator cohort before propensity score adjustment",yes,no,yes
covariate_balance,std_diff_before,float,"Standardized difference of the means between the target and comparator cohort before propensity score adjustment",yes,no,yes
covariate_balance,target_mean_after,float,"Mean value of the covariate in the target cohort after propensity score adjustment",yes,no,yes
covariate_balance,comparator_mean_after,float,"Mean value of the covariate in the comparator cohort after propensity score adjustment",yes,no,yes
covariate_balance,std_diff_after,float,"Standardized difference of the means between the target and comparator cohort after propensity score adjustment",yes,no,yes
preference_score_dist,database_id,varchar,"Foreign key referencing the database",yes,yes,yes
preference_score_dist,target_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
preference_score_dist,comparator_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
preference_score_dist,preference_score,float,"Preference score value",yes,no,yes
preference_score_dist,target_density,float,"Distribution density for the target cohort at the given preference score",yes,no,yes
preference_score_dist,comparator_density,float,"Distribution density for the comparator cohort at the given preference score",yes,no,yes
propensity_model,database_id,varchar,"Foreign key referencing the database",yes,yes,yes
propensity_model,target_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
propensity_model,comparator_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
propensity_model,covariate_id,bigint,"Foreign key referencing the covariate table",yes,yes,yes
propensity_model,coefficient,float,"Coefficient (beta) for the covariate in the propensity model",yes,no,yes
kaplan_meier_dist,database_id,varchar,"Foreign key referencing the database",yes,yes,yes
kaplan_meier_dist,target_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
kaplan_meier_dist,comparator_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
kaplan_meier_dist,outcome_id,bigint,"Foreign key referencing the outcomes_of_interest table",yes,yes,yes
kaplan_meier_dist,analysis_id,int,"Foreign key referencing the cohort_method_analysis table",yes,yes,yes
kaplan_meier_dist,time,int,"Time in days since cohort start",yes,no,yes
kaplan_meier_dist,target_at_risk,int,"Number of subjects still at risk in the target cohort",yes,no,yes
kaplan_meier_dist,comparator_at_risk,int,"Number of subjects still at risk in the comparator cohort",yes,no,yes
kaplan_meier_dist,target_survival,float,"Estimated survival fraction in the target cohort",yes,no,yes
kaplan_meier_dist,target_survival_lb,float,"Lower bound of the 95% confidence interval of the survival fraction in the target cohort",yes,no,yes
kaplan_meier_dist,target_survival_ub,float,"Upper bound of the 95% confidence interval of the survival fraction in the target cohort",yes,no,yes
kaplan_meier_dist,comparator_survival,float,"Estimated survival fraction in the comparator cohort",yes,no,yes
kaplan_meier_dist,comparator_survival_lb,float,"Lower bound of the 95% confidence interval of the survival fraction in the comparator cohort",yes,no,yes
kaplan_meier_dist,comparator_survival_ub,float,"Upper bound of the 95% confidence interval of the survival fraction in the comparator cohort",yes,no,yes
likelihood_profile,targeti_d,bigint,"Foreign key referencing the exposure_of_interest table",yes,yes,yes
likelihood_profile,comparator_id,bigint,"Foreign key referencing the exposure_of_interest table",yes,no,yes
likelihood_profile,outcome_id,bigint,"Foreign key referencing the outcomes_of_interest table",yes,yes,yes
likelihood_profile,analysis_id,int,"Foreign key referencing the cohort_method_analysis table",yes,yes,yes
