atlasId,atlasName,cohortId,name
101100000,DPP4I main,101100000,class/ID101100000
201100000,GLP1RA main,201100000,class/ID201100000
301100000,SGLT2I main,301100000,class/ID301100000
401100000,SU main,401100000,class/ID401100000
101110000,DPP4I younger-age,101110000,class/ID101110000
201110000,GLP1RA younger-age,201110000,class/ID201110000
301110000,SGLT2I younger-age,301110000,class/ID301110000
401110000,SU younger-age,401110000,class/ID401110000
101120000,DPP4I middle-age,101120000,class/ID101120000
201120000,GLP1RA middle-age,201120000,class/ID201120000
301120000,SGLT2I middle-age,301120000,class/ID301120000
401120000,SU middle-age,401120000,class/ID401120000
101130000,DPP4I older-age,101130000,class/ID101130000
201130000,GLP1RA older-age,201130000,class/ID201130000
301130000,SGLT2I older-age,301130000,class/ID301130000
401130000,SU older-age,401130000,class/ID401130000
101100010,DPP4I low-cvr,101100010,class/ID101100010
201100010,GLP1RA low-cvr,201100010,class/ID201100010
301100010,SGLT2I low-cvr,301100010,class/ID301100010
401100010,SU low-cvr,401100010,class/ID401100010
101100020,DPP4I higher-cvr,101100020,class/ID101100020
201100020,GLP1RA higher-cvr,201100020,class/ID201100020
301100020,SGLT2I higher-cvr,301100020,class/ID301100020
401100020,SU higher-cvr,401100020,class/ID401100020
101101000,DPP4I female,101101000,class/ID101101000
201101000,GLP1RA female,201101000,class/ID201101000
301101000,SGLT2I female,301101000,class/ID301101000
401101000,SU female,401101000,class/ID401101000
101102000,DPP4I male,101102000,class/ID101102000
201102000,GLP1RA male,201102000,class/ID201102000
301102000,SGLT2I male,301102000,class/ID301102000
401102000,SU male,401102000,class/ID401102000
101100100,DPP4I black,101100100,class/ID101100100
201100100,GLP1RA black,201100100,class/ID201100100
301100100,SGLT2I black,301100100,class/ID301100100
401100100,SU black,401100100,class/ID401100100
101100001,DPP4I without-rdz,101100001,class/ID101100001
201100001,GLP1RA without-rdz,201100001,class/ID201100001
301100001,SGLT2I without-rdz,301100001,class/ID301100001
401100001,SU without-rdz,401100001,class/ID401100001
101100002,DPP4I with-rdz,101100002,class/ID101100002
201100002,GLP1RA with-rdz,201100002,class/ID201100002
301100002,SGLT2I with-rdz,301100002,class/ID301100002
401100002,SU with-rdz,401100002,class/ID401100002
102100000,DPP4I main ot2,102100000,class/ID102100000
202100000,GLP1RA main ot2,202100000,class/ID202100000
302100000,SGLT2I main ot2,302100000,class/ID302100000
402100000,SU main ot2,402100000,class/ID402100000
102110000,DPP4I ot2 younger-age,102110000,class/ID102110000
202110000,GLP1RA ot2 younger-age,202110000,class/ID202110000
302110000,SGLT2I ot2 younger-age,302110000,class/ID302110000
402110000,SU ot2 younger-age,402110000,class/ID402110000
102120000,DPP4I ot2 middle-age,102120000,class/ID102120000
202120000,GLP1RA ot2 middle-age,202120000,class/ID202120000
302120000,SGLT2I ot2 middle-age,302120000,class/ID302120000
402120000,SU ot2 middle-age,402120000,class/ID402120000
