targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,targetName,comparatorName
101100000,201100000,-1,NA,DPP4I,GLP1RA
101100000,301100000,-1,NA,DPP4I,SGLT2I
101100000,401100000,-1,NA,DPP4I,SU
201100000,301100000,-1,NA,GLP1RA,SGLT2I
201100000,401100000,-1,NA,GLP1RA,SU
301100000,401100000,-1,NA,SGLT2I,SU
101101000,201101000,-1,NA,DPP4I female,GLP1RA female
101101000,301101000,-1,NA,DPP4I female,SGLT2I female
101101000,401101000,-1,NA,DPP4I female,SU female
201101000,301101000,-1,NA,GLP1RA female,SGLT2I female
201101000,401101000,-1,NA,GLP1RA female,SU female
301101000,401101000,-1,NA,SGLT2I female,SU female
