atlasId,atlasName,cohortId,name
112100000,alogliptin main ot2,112100000,dpp4i/ID112100000
112110000,alogliptin ot2 younger-age,112110000,dpp4i/ID112110000
112120000,alogliptin ot2 middle-age,112120000,dpp4i/ID112120000
112130000,alogliptin ot2 older-age,112130000,dpp4i/ID112130000
112100010,alogliptin ot2 low-cvr,112100010,dpp4i/ID112100010
112100020,alogliptin ot2 higher-cvr,112100020,dpp4i/ID112100020
112101000,alogliptin ot2 female,112101000,dpp4i/ID112101000
112102000,alogliptin ot2 male,112102000,dpp4i/ID112102000
112100100,alogliptin ot2 black,112100100,dpp4i/ID112100100
112100001,alogliptin ot2 without-rdz,112100001,dpp4i/ID112100001
112100002,alogliptin ot2 with-rdz,112100002,dpp4i/ID112100002
112200000,alogliptin main ot2 no-met,112200000,dpp4i/ID112200000
112210000,alogliptin ot2 no-met younger-age,112210000,dpp4i/ID112210000
112220000,alogliptin ot2 no-met middle-age,112220000,dpp4i/ID112220000
112230000,alogliptin ot2 no-met older-age,112230000,dpp4i/ID112230000
112200010,alogliptin ot2 no-met low-cvr,112200010,dpp4i/ID112200010
112200020,alogliptin ot2 no-met higher-cvr,112200020,dpp4i/ID112200020
112201000,alogliptin ot2 no-met female,112201000,dpp4i/ID112201000
112202000,alogliptin ot2 no-met male,112202000,dpp4i/ID112202000
112200100,alogliptin ot2 no-met black,112200100,dpp4i/ID112200100
112200001,alogliptin ot2 no-met without-rdz,112200001,dpp4i/ID112200001
112200002,alogliptin ot2 no-met with-rdz,112200002,dpp4i/ID112200002
122100000,linagliptin main ot2,122100000,dpp4i/ID122100000
122110000,linagliptin ot2 younger-age,122110000,dpp4i/ID122110000
122120000,linagliptin ot2 middle-age,122120000,dpp4i/ID122120000
122130000,linagliptin ot2 older-age,122130000,dpp4i/ID122130000
122100010,linagliptin ot2 low-cvr,122100010,dpp4i/ID122100010
122100020,linagliptin ot2 higher-cvr,122100020,dpp4i/ID122100020
122101000,linagliptin ot2 female,122101000,dpp4i/ID122101000
122102000,linagliptin ot2 male,122102000,dpp4i/ID122102000
122100100,linagliptin ot2 black,122100100,dpp4i/ID122100100
122100001,linagliptin ot2 without-rdz,122100001,dpp4i/ID122100001
122100002,linagliptin ot2 with-rdz,122100002,dpp4i/ID122100002
122200000,linagliptin main ot2 no-met,122200000,dpp4i/ID122200000
122210000,linagliptin ot2 no-met younger-age,122210000,dpp4i/ID122210000
122220000,linagliptin ot2 no-met middle-age,122220000,dpp4i/ID122220000
122230000,linagliptin ot2 no-met older-age,122230000,dpp4i/ID122230000
122200010,linagliptin ot2 no-met low-cvr,122200010,dpp4i/ID122200010
122200020,linagliptin ot2 no-met higher-cvr,122200020,dpp4i/ID122200020
122201000,linagliptin ot2 no-met female,122201000,dpp4i/ID122201000
122202000,linagliptin ot2 no-met male,122202000,dpp4i/ID122202000
122200100,linagliptin ot2 no-met black,122200100,dpp4i/ID122200100
122200001,linagliptin ot2 no-met without-rdz,122200001,dpp4i/ID122200001
122200002,linagliptin ot2 no-met with-rdz,122200002,dpp4i/ID122200002
132100000,saxagliptin main ot2,132100000,dpp4i/ID132100000
132110000,saxagliptin ot2 younger-age,132110000,dpp4i/ID132110000
132120000,saxagliptin ot2 middle-age,132120000,dpp4i/ID132120000
132130000,saxagliptin ot2 older-age,132130000,dpp4i/ID132130000
132100010,saxagliptin ot2 low-cvr,132100010,dpp4i/ID132100010
132100020,saxagliptin ot2 higher-cvr,132100020,dpp4i/ID132100020
132101000,saxagliptin ot2 female,132101000,dpp4i/ID132101000
132102000,saxagliptin ot2 male,132102000,dpp4i/ID132102000
132100100,saxagliptin ot2 black,132100100,dpp4i/ID132100100
132100001,saxagliptin ot2 without-rdz,132100001,dpp4i/ID132100001
132100002,saxagliptin ot2 with-rdz,132100002,dpp4i/ID132100002
132200000,saxagliptin main ot2 no-met,132200000,dpp4i/ID132200000
132210000,saxagliptin ot2 no-met younger-age,132210000,dpp4i/ID132210000
132220000,saxagliptin ot2 no-met middle-age,132220000,dpp4i/ID132220000
132230000,saxagliptin ot2 no-met older-age,132230000,dpp4i/ID132230000
132200010,saxagliptin ot2 no-met low-cvr,132200010,dpp4i/ID132200010
132200020,saxagliptin ot2 no-met higher-cvr,132200020,dpp4i/ID132200020
132201000,saxagliptin ot2 no-met female,132201000,dpp4i/ID132201000
132202000,saxagliptin ot2 no-met male,132202000,dpp4i/ID132202000
132200100,saxagliptin ot2 no-met black,132200100,dpp4i/ID132200100
132200001,saxagliptin ot2 no-met without-rdz,132200001,dpp4i/ID132200001
132200002,saxagliptin ot2 no-met with-rdz,132200002,dpp4i/ID132200002
142100000,sitagliptin main ot2,142100000,dpp4i/ID142100000
142110000,sitagliptin ot2 younger-age,142110000,dpp4i/ID142110000
142120000,sitagliptin ot2 middle-age,142120000,dpp4i/ID142120000
142130000,sitagliptin ot2 older-age,142130000,dpp4i/ID142130000
142100010,sitagliptin ot2 low-cvr,142100010,dpp4i/ID142100010
142100020,sitagliptin ot2 higher-cvr,142100020,dpp4i/ID142100020
142101000,sitagliptin ot2 female,142101000,dpp4i/ID142101000
142102000,sitagliptin ot2 male,142102000,dpp4i/ID142102000
142100100,sitagliptin ot2 black,142100100,dpp4i/ID142100100
142100001,sitagliptin ot2 without-rdz,142100001,dpp4i/ID142100001
142100002,sitagliptin ot2 with-rdz,142100002,dpp4i/ID142100002
142200000,sitagliptin main ot2 no-met,142200000,dpp4i/ID142200000
142210000,sitagliptin ot2 no-met younger-age,142210000,dpp4i/ID142210000
142220000,sitagliptin ot2 no-met middle-age,142220000,dpp4i/ID142220000
142230000,sitagliptin ot2 no-met older-age,142230000,dpp4i/ID142230000
142200010,sitagliptin ot2 no-met low-cvr,142200010,dpp4i/ID142200010
142200020,sitagliptin ot2 no-met higher-cvr,142200020,dpp4i/ID142200020
142201000,sitagliptin ot2 no-met female,142201000,dpp4i/ID142201000
142202000,sitagliptin ot2 no-met male,142202000,dpp4i/ID142202000
142200100,sitagliptin ot2 no-met black,142200100,dpp4i/ID142200100
142200001,sitagliptin ot2 no-met without-rdz,142200001,dpp4i/ID142200001
142200002,sitagliptin ot2 no-met with-rdz,142200002,dpp4i/ID142200002
152100000,vildagliptin main ot2,152100000,dpp4i/ID152100000
152110000,vildagliptin ot2 younger-age,152110000,dpp4i/ID152110000
152120000,vildagliptin ot2 middle-age,152120000,dpp4i/ID152120000
152130000,vildagliptin ot2 older-age,152130000,dpp4i/ID152130000
152100010,vildagliptin ot2 low-cvr,152100010,dpp4i/ID152100010
152100020,vildagliptin ot2 higher-cvr,152100020,dpp4i/ID152100020
152101000,vildagliptin ot2 female,152101000,dpp4i/ID152101000
152102000,vildagliptin ot2 male,152102000,dpp4i/ID152102000
152100100,vildagliptin ot2 black,152100100,dpp4i/ID152100100
152100001,vildagliptin ot2 without-rdz,152100001,dpp4i/ID152100001
152100002,vildagliptin ot2 with-rdz,152100002,dpp4i/ID152100002
152200000,vildagliptin main ot2 no-met,152200000,dpp4i/ID152200000
152210000,vildagliptin ot2 no-met younger-age,152210000,dpp4i/ID152210000
152220000,vildagliptin ot2 no-met middle-age,152220000,dpp4i/ID152220000
152230000,vildagliptin ot2 no-met older-age,152230000,dpp4i/ID152230000
152200010,vildagliptin ot2 no-met low-cvr,152200010,dpp4i/ID152200010
152200020,vildagliptin ot2 no-met higher-cvr,152200020,dpp4i/ID152200020
152201000,vildagliptin ot2 no-met female,152201000,dpp4i/ID152201000
152202000,vildagliptin ot2 no-met male,152202000,dpp4i/ID152202000
152200100,vildagliptin ot2 no-met black,152200100,dpp4i/ID152200100
152200001,vildagliptin ot2 no-met without-rdz,152200001,dpp4i/ID152200001
152200002,vildagliptin ot2 no-met with-rdz,152200002,dpp4i/ID152200002
212100000,albiglutide main ot2,212100000,glp1ra/ID212100000
212110000,albiglutide ot2 younger-age,212110000,glp1ra/ID212110000
212120000,albiglutide ot2 middle-age,212120000,glp1ra/ID212120000
212130000,albiglutide ot2 older-age,212130000,glp1ra/ID212130000
212100010,albiglutide ot2 low-cvr,212100010,glp1ra/ID212100010
212100020,albiglutide ot2 higher-cvr,212100020,glp1ra/ID212100020
212101000,albiglutide ot2 female,212101000,glp1ra/ID212101000
212102000,albiglutide ot2 male,212102000,glp1ra/ID212102000
212100100,albiglutide ot2 black,212100100,glp1ra/ID212100100
212100001,albiglutide ot2 without-rdz,212100001,glp1ra/ID212100001
212100002,albiglutide ot2 with-rdz,212100002,glp1ra/ID212100002
212200000,albiglutide main ot2 no-met,212200000,glp1ra/ID212200000
212210000,albiglutide ot2 no-met younger-age,212210000,glp1ra/ID212210000
212220000,albiglutide ot2 no-met middle-age,212220000,glp1ra/ID212220000
