targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,targetName,comparatorName
112100000,122100000,-1,NA,alogliptin main ot2,linagliptin main ot2
112110000,122110000,-1,NA,alogliptin ot2 younger-age,linagliptin ot2 younger-age
112120000,122120000,-1,NA,alogliptin ot2 middle-age,linagliptin ot2 middle-age
112130000,122130000,-1,NA,alogliptin ot2 older-age,linagliptin ot2 older-age
112100010,122100010,-1,NA,alogliptin ot2 low-cvr,linagliptin ot2 low-cvr
112100020,122100020,-1,NA,alogliptin ot2 higher-cvr,linagliptin ot2 higher-cvr
112101000,122101000,-1,NA,alogliptin ot2 female,linagliptin ot2 female
112102000,122102000,-1,NA,alogliptin ot2 male,linagliptin ot2 male
112100100,122100100,-1,NA,alogliptin ot2 black,linagliptin ot2 black
112100001,122100001,-1,NA,alogliptin ot2 without-rdz,linagliptin ot2 without-rdz
112100002,122100002,-1,NA,alogliptin ot2 with-rdz,linagliptin ot2 with-rdz
112200000,122200000,-1,NA,alogliptin main ot2 no-met,linagliptin main ot2 no-met
112210000,122210000,-1,NA,alogliptin ot2 no-met younger-age,linagliptin ot2 no-met younger-age
112220000,122220000,-1,NA,alogliptin ot2 no-met middle-age,linagliptin ot2 no-met middle-age
112230000,122230000,-1,NA,alogliptin ot2 no-met older-age,linagliptin ot2 no-met older-age
112200010,122200010,-1,NA,alogliptin ot2 no-met low-cvr,linagliptin ot2 no-met low-cvr
112200020,122200020,-1,NA,alogliptin ot2 no-met higher-cvr,linagliptin ot2 no-met higher-cvr
112201000,122201000,-1,NA,alogliptin ot2 no-met female,linagliptin ot2 no-met female
112202000,122202000,-1,NA,alogliptin ot2 no-met male,linagliptin ot2 no-met male
112200100,122200100,-1,NA,alogliptin ot2 no-met black,linagliptin ot2 no-met black
112200001,122200001,-1,NA,alogliptin ot2 no-met without-rdz,linagliptin ot2 no-met without-rdz
112200002,122200002,-1,NA,alogliptin ot2 no-met with-rdz,linagliptin ot2 no-met with-rdz
112100000,132100000,-1,NA,alogliptin main ot2,saxagliptin main ot2
112110000,132110000,-1,NA,alogliptin ot2 younger-age,saxagliptin ot2 younger-age
112120000,132120000,-1,NA,alogliptin ot2 middle-age,saxagliptin ot2 middle-age
112130000,132130000,-1,NA,alogliptin ot2 older-age,saxagliptin ot2 older-age
112100010,132100010,-1,NA,alogliptin ot2 low-cvr,saxagliptin ot2 low-cvr
112100020,132100020,-1,NA,alogliptin ot2 higher-cvr,saxagliptin ot2 higher-cvr
112101000,132101000,-1,NA,alogliptin ot2 female,saxagliptin ot2 female
112102000,132102000,-1,NA,alogliptin ot2 male,saxagliptin ot2 male
112100100,132100100,-1,NA,alogliptin ot2 black,saxagliptin ot2 black
112100001,132100001,-1,NA,alogliptin ot2 without-rdz,saxagliptin ot2 without-rdz
112100002,132100002,-1,NA,alogliptin ot2 with-rdz,saxagliptin ot2 with-rdz
112200000,132200000,-1,NA,alogliptin main ot2 no-met,saxagliptin main ot2 no-met
112210000,132210000,-1,NA,alogliptin ot2 no-met younger-age,saxagliptin ot2 no-met younger-age
112220000,132220000,-1,NA,alogliptin ot2 no-met middle-age,saxagliptin ot2 no-met middle-age
112230000,132230000,-1,NA,alogliptin ot2 no-met older-age,saxagliptin ot2 no-met older-age
112200010,132200010,-1,NA,alogliptin ot2 no-met low-cvr,saxagliptin ot2 no-met low-cvr
112200020,132200020,-1,NA,alogliptin ot2 no-met higher-cvr,saxagliptin ot2 no-met higher-cvr
112201000,132201000,-1,NA,alogliptin ot2 no-met female,saxagliptin ot2 no-met female
112202000,132202000,-1,NA,alogliptin ot2 no-met male,saxagliptin ot2 no-met male
112200100,132200100,-1,NA,alogliptin ot2 no-met black,saxagliptin ot2 no-met black
112200001,132200001,-1,NA,alogliptin ot2 no-met without-rdz,saxagliptin ot2 no-met without-rdz
112200002,132200002,-1,NA,alogliptin ot2 no-met with-rdz,saxagliptin ot2 no-met with-rdz
112100000,142100000,-1,NA,alogliptin main ot2,sitagliptin main ot2
112110000,142110000,-1,NA,alogliptin ot2 younger-age,sitagliptin ot2 younger-age
112120000,142120000,-1,NA,alogliptin ot2 middle-age,sitagliptin ot2 middle-age
112130000,142130000,-1,NA,alogliptin ot2 older-age,sitagliptin ot2 older-age
112100010,142100010,-1,NA,alogliptin ot2 low-cvr,sitagliptin ot2 low-cvr
112100020,142100020,-1,NA,alogliptin ot2 higher-cvr,sitagliptin ot2 higher-cvr
112101000,142101000,-1,NA,alogliptin ot2 female,sitagliptin ot2 female
112102000,142102000,-1,NA,alogliptin ot2 male,sitagliptin ot2 male
112100100,142100100,-1,NA,alogliptin ot2 black,sitagliptin ot2 black
112100001,142100001,-1,NA,alogliptin ot2 without-rdz,sitagliptin ot2 without-rdz
112100002,142100002,-1,NA,alogliptin ot2 with-rdz,sitagliptin ot2 with-rdz
112200000,142200000,-1,NA,alogliptin main ot2 no-met,sitagliptin main ot2 no-met
112210000,142210000,-1,NA,alogliptin ot2 no-met younger-age,sitagliptin ot2 no-met younger-age
112220000,142220000,-1,NA,alogliptin ot2 no-met middle-age,sitagliptin ot2 no-met middle-age
112230000,142230000,-1,NA,alogliptin ot2 no-met older-age,sitagliptin ot2 no-met older-age
112200010,142200010,-1,NA,alogliptin ot2 no-met low-cvr,sitagliptin ot2 no-met low-cvr
112200020,142200020,-1,NA,alogliptin ot2 no-met higher-cvr,sitagliptin ot2 no-met higher-cvr
112201000,142201000,-1,NA,alogliptin ot2 no-met female,sitagliptin ot2 no-met female
112202000,142202000,-1,NA,alogliptin ot2 no-met male,sitagliptin ot2 no-met male
112200100,142200100,-1,NA,alogliptin ot2 no-met black,sitagliptin ot2 no-met black
112200001,142200001,-1,NA,alogliptin ot2 no-met without-rdz,sitagliptin ot2 no-met without-rdz
112200002,142200002,-1,NA,alogliptin ot2 no-met with-rdz,sitagliptin ot2 no-met with-rdz
112100000,152100000,-1,NA,alogliptin main ot2,vildagliptin main ot2
112110000,152110000,-1,NA,alogliptin ot2 younger-age,vildagliptin ot2 younger-age
112120000,152120000,-1,NA,alogliptin ot2 middle-age,vildagliptin ot2 middle-age
112130000,152130000,-1,NA,alogliptin ot2 older-age,vildagliptin ot2 older-age
112100010,152100010,-1,NA,alogliptin ot2 low-cvr,vildagliptin ot2 low-cvr
112100020,152100020,-1,NA,alogliptin ot2 higher-cvr,vildagliptin ot2 higher-cvr
112101000,152101000,-1,NA,alogliptin ot2 female,vildagliptin ot2 female
112102000,152102000,-1,NA,alogliptin ot2 male,vildagliptin ot2 male
112100100,152100100,-1,NA,alogliptin ot2 black,vildagliptin ot2 black
112100001,152100001,-1,NA,alogliptin ot2 without-rdz,vildagliptin ot2 without-rdz
112100002,152100002,-1,NA,alogliptin ot2 with-rdz,vildagliptin ot2 with-rdz
112200000,152200000,-1,NA,alogliptin main ot2 no-met,vildagliptin main ot2 no-met
112210000,152210000,-1,NA,alogliptin ot2 no-met younger-age,vildagliptin ot2 no-met younger-age
112220000,152220000,-1,NA,alogliptin ot2 no-met middle-age,vildagliptin ot2 no-met middle-age
112230000,152230000,-1,NA,alogliptin ot2 no-met older-age,vildagliptin ot2 no-met older-age
112200010,152200010,-1,NA,alogliptin ot2 no-met low-cvr,vildagliptin ot2 no-met low-cvr
112200020,152200020,-1,NA,alogliptin ot2 no-met higher-cvr,vildagliptin ot2 no-met higher-cvr
112201000,152201000,-1,NA,alogliptin ot2 no-met female,vildagliptin ot2 no-met female
112202000,152202000,-1,NA,alogliptin ot2 no-met male,vildagliptin ot2 no-met male
112200100,152200100,-1,NA,alogliptin ot2 no-met black,vildagliptin ot2 no-met black
112200001,152200001,-1,NA,alogliptin ot2 no-met without-rdz,vildagliptin ot2 no-met without-rdz
112200002,152200002,-1,NA,alogliptin ot2 no-met with-rdz,vildagliptin ot2 no-met with-rdz
112100000,212100000,-1,NA,alogliptin main ot2,albiglutide main ot2
112110000,212110000,-1,NA,alogliptin ot2 younger-age,albiglutide ot2 younger-age
112120000,212120000,-1,NA,alogliptin ot2 middle-age,albiglutide ot2 middle-age
112130000,212130000,-1,NA,alogliptin ot2 older-age,albiglutide ot2 older-age
112100010,212100010,-1,NA,alogliptin ot2 low-cvr,albiglutide ot2 low-cvr
112100020,212100020,-1,NA,alogliptin ot2 higher-cvr,albiglutide ot2 higher-cvr
