targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,targetName,comparatorName
111100000,121100000,-1,NA,alogliptin main,linagliptin main
111110000,121110000,-1,NA,alogliptin younger-age,linagliptin younger-age
111120000,121120000,-1,NA,alogliptin middle-age,linagliptin middle-age
111130000,121130000,-1,NA,alogliptin older-age,linagliptin older-age
111100010,121100010,-1,NA,alogliptin low-cvr,linagliptin low-cvr
111100020,121100020,-1,NA,alogliptin higher-cvr,linagliptin higher-cvr
111101000,121101000,-1,NA,alogliptin female,linagliptin female
111102000,121102000,-1,NA,alogliptin male,linagliptin male
111100100,121100100,-1,NA,alogliptin black,linagliptin black
111100001,121100001,-1,NA,alogliptin without-rdz,linagliptin without-rdz
111100002,121100002,-1,NA,alogliptin with-rdz,linagliptin with-rdz
112100000,122100000,-1,NA,alogliptin main ot2,linagliptin main ot2
112110000,122110000,-1,NA,alogliptin ot2 younger-age,linagliptin ot2 younger-age
112120000,122120000,-1,NA,alogliptin ot2 middle-age,linagliptin ot2 middle-age
112130000,122130000,-1,NA,alogliptin ot2 older-age,linagliptin ot2 older-age
112100010,122100010,-1,NA,alogliptin ot2 low-cvr,linagliptin ot2 low-cvr
112100020,122100020,-1,NA,alogliptin ot2 higher-cvr,linagliptin ot2 higher-cvr
112101000,122101000,-1,NA,alogliptin ot2 female,linagliptin ot2 female
112102000,122102000,-1,NA,alogliptin ot2 male,linagliptin ot2 male
112100100,122100100,-1,NA,alogliptin ot2 black,linagliptin ot2 black
112100001,122100001,-1,NA,alogliptin ot2 without-rdz,linagliptin ot2 without-rdz
112100002,122100002,-1,NA,alogliptin ot2 with-rdz,linagliptin ot2 with-rdz
111200000,121200000,-1,NA,alogliptin main no-met,linagliptin main no-met
111210000,121210000,-1,NA,alogliptin no-met younger-age,linagliptin no-met younger-age
111220000,121220000,-1,NA,alogliptin no-met middle-age,linagliptin no-met middle-age
111230000,121230000,-1,NA,alogliptin no-met older-age,linagliptin no-met older-age
